Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days,,
2017,12,24,,,,358,,
2017,12,25,,,,359,,
2017,12,26,750,1800,1863,360,,
2017,12,27,700,1800,1438,361,,
2017,12,28,700,1800,1472,362,,
2017,12,29,700,1800,1540,363,,
2017,12,30,700,1800,1503,364,,
2017,12,31,,,,365,,
2018,1,1,700,1800,547,366,,
2018,1,2,700,1800,1924,367,,
2018,1,3,700,1800,1025,368,,
2018,1,4,700,1800,1184,369,,
2018,1,5,650,1600,1266,370,,
2018,1,6,650,1800,1846,371,,
2018,1,7,,,,372,,
2018,1,8,650,1800,563,373,,
2018,1,9,650,1600,1584,374,,
2018,1,10,650,1600,1052,375,,
2018,1,11,650,1600,1744,376,,
2018,1,12,650,1600,1546,377,,
2018,1,13,650,1600,1214,378,,
2018,1,14,,,,379,,
2018,1,15,650,1600,553,380,,
2018,1,16,650,1600,1744,381,,
2018,1,17,650,1500,1286,382,,
2018,1,18,700,1600,1630,383,,
2018,1,19,700,1500,1252,384,,
2018,1,20,700,1500,1595,385,,
2018,1,21,,,,386,,
2018,1,22,700,1500,432,387,,
2018,1,23,700,1500,1839,388,,
2018,1,24,700,1500,1457,389,,
2018,1,25,700,1500,1262,390,,
2018,1,26,,,,391,,
2018,1,27,700,1500,226,392,,
2018,1,28,,,,393,,
2018,1,29,700,1500,220,394,,
2018,1,30,700,1500,1977,395,,
2018,1,31,700,1500,1587,396,,
2018,2,1,700,1500,1244,397,,
2018,2,2,700,1500,1319,398,,
2018,2,3,700,1500,1333,399,,
2018,2,4,,,,400,,
2018,2,5,700,1500,222,401,,
2018,2,6,675,1500,2420,402,,
2018,2,7,700,1500,1256,403,,
2018,2,8,400,1000,956,404,,
2018,2,9,425,1000,1031,405,,
2018,2,10,425,1000,1329,406,,
2018,2,11,,,,407,,
2018,2,12,425,1000,150,408,,
2018,2,13,550,1200,1550,409,,
2018,2,14,,,,410,,
2018,2,15,525,1200,1216,411,,
2018,2,16,525,1200,1849,412,,
2018,2,17,575,1200,1250,413,,
2018,2,18,,,,414,,
2018,2,19,575,1200,395,415,,
2018,2,20,575,1200,2033,416,,
2018,2,21,625,1200,1210,417,,
2018,2,22,625,1200,1532,418,,
2018,2,23,625,1200,1504,419,,
2018,2,24,625,1200,1699,420,,
2018,2,25,,,,421,,
2018,2,26,600,1200,156,422,,
2018,2,27,600,1200,1846,423,,
2018,2,28,650,1300,1461,424,,
2018,3,1,650,1300,1418,425,,
2018,3,2,,,,426,,
2018,3,3,650,1300,369,427,,
2018,3,4,,,,428,,
2018,3,5,650,1200,108,429,,
2018,3,6,650,1300,1202,430,,
2018,3,7,650,1300,1602,431,,
2018,3,8,650,1300,1830,432,,
2018,3,9,650,1300,1326,433,,
2018,3,10,650,1300,1483,434,,
2018,3,11,,,,435,,
2018,3,12,650,1200,84,436,,
2018,3,13,875,1500,1108,437,,
2018,3,14,875,1500,1412,438,,
2018,3,15,875,1600,1818,439,,
2018,3,16,875,1600,1150,440,,
2018,3,17,875,1600,1409,441,,
2018,3,18,,,,442,,
2018,3,19,875,1600,261,443,,
2018,3,20,875,1600,2168,444,,
2018,3,21,875,1600,1628,445,,
2018,3,22,875,1600,1845,446,,
2018,3,23,850,1600,1446,447,,
2018,3,24,850,1600,1453,448,,
2018,3,25,,,,449,,
2018,3,26,875,1600,167,450,,
2018,3,27,825,1600,1601,451,,
2018,3,28,875,1600,1447,452,,
2018,3,29,,,,453,,
2018,3,30,,,,454,,
2018,3,31,875,1600,1375,455,,
2018,4,1,,,,456,,
2018,4,2,850,1600,70,457,,
2018,4,3,1050,1800,1598,458,,
2018,4,4,1075,1800,1470,459,,
2018,4,5,1075,1800,1817,460,,
2018,4,6,1050,1800,1342,461,,
2018,4,7,1075,2000,1297,462,,
2018,4,8,,,,463,,
2018,4,9,1075,2000,257,464,,
2018,4,10,1025,2000,1938,465,,
2018,4,11,1025,2000,1321,466,,
2018,4,12,975,2000,1222,467,,
2018,4,13,975,2000,1335,468,,
2018,4,14,,,,469,,
2018,4,15,,,,470,,
2018,4,16,975,2000,10,471,,
2018,4,17,975,2000,1898,472,,
2018,4,18,1050,2000,1332,473,,
2018,4,19,1050,2000,1281,474,,
2018,4,20,1050,2000,1326,475,,
2018,4,21,950,2000,1482,476,,
2018,4,22,,,,477,,
2018,4,23,1050,2000,392,478,,
2018,4,24,1075,2000,1987,479,,
2018,4,25,1100,2000,1349,480,,
2018,4,26,1100,2000,1381,481,,
2018,4,27,1100,2000,1528,482,,
2018,4,28,1075,2000,1266,483,,
2018,4,29,,,,484,,
2018,4,30,,,,485,,
2018,5,1,1075,2000,1820,486,,
2018,5,2,1075,2000,1115,487,,
2018,5,3,1075,2000,1579,488,,
2018,5,4,1025,2000,1208,489,,
2018,5,5,1175,2400,1336,490,,
2018,5,6,,,,491,,
2018,5,7,1175,2400,134,492,,
2018,5,8,1175,2400,1435,493,,
2018,5,9,1175,2400,1308,494,,
2018,5,10,1175,2400,497,495,,
2018,5,11,1175,2400,1109,496,,
2018,5,12,1175,2400,1323,497,,
2018,5,13,,,,498,,
2018,5,14,1175,2400,91,499,,
2018,5,15,1175,2400,1633,500,,
2018,5,16,1175,2400,1249,501,,
2018,5,17,1175,2400,1412,502,,
2018,5,18,1175,2400,1283,503,,
2018,5,19,1150,2400,1233,504,,
2018,5,20,,,,505,,
2018,5,21,1150,2200,42,506,,
2018,5,22,1200,2400,1469,507,,
2018,5,23,1200,2400,1110,508,,
2018,5,24,1200,2400,1429,509,,
2018,5,25,1200,2400,1108,510,,
